SurveyYear,AreaDesc,SiteName,SiteLatitude,SiteLongitude,PortDistance,LandfallDist_NM,MainlandDist_NM,CDFGBlock,IncludeSiteSheet,IncludeDrop,IncludeDropDetail,IncludeHook,MinOfAvgSST,AvgOfAvgSST,MaxOfAvgSST,MinOfVesselDepth,AvgOfVesselDepth,MaxOfVesselDepth,HookswithFish,ValidHook,Anemone unid,Bank Rockfish,Barred Sand Bass,Blackgill Rockfish,Blue Rockfish,Bocaccio,Bronzespotted Rockfish,Brown Rockfish,Brown Smoothhound,Calico Rockfish,California Market Squid,California Scorpionfish,California Sheephead,California Yellowtail,Canary Rockfish,Chilipepper,Copper Rockfish,Cowcod,Flag Rockfish,Freckled Rockfish,Giant plumose anemone,Gopher Rockfish,Gorgonian unident (coral),Gray Smoothhound,Greenblotched Rockfish,Greenspotted Rockfish,Greenstriped Rockfish,Halfbanded Rockfish,Honeycomb Rockfish,Humboldt Squid,Invert Unidentified,Lingcod,Lizardfish,Mexican Rockfish,Ocean Whitefish,Olive Rockfish,Pacific Bonito,Pacific Jack Mackerel,Pacific Mackerel,Pacific Sardine,Petrale Sole,Pink Rockfish,Pinkrose Rockfish,Rosethorn Rockfish,Rosy Rockfish,Sanddab Unidentified,Sharpchin Rockfish,Shortbelly Rockfish,Silvergray Rockfish,Southern Rock Sole,Speckled Rockfish,Spiny Dogfish,Spiny Sea Star,Squarespot Rockfish,Starry Rockfish,Stripetail Rockfish,Swordspine Rockfish,Treefish,Unknown Fish,Vermilion Rockfish,White Croaker,Whitespeckled Rockfish,Widow Rockfish,Yelloweye Rockfish,Yellowtail Rockfish
2004, Fourteen Mile Bank,2,33 23.771,117 59.507,12.8,12.80,12.80,758,TRUE,TRUE,TRUE,TRUE,,,,70,70.82222324,72,9,9,,,,,,5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
2005, Fourteen Mile Bank,2,33 23.771,117 59.507,12.8,12.80,12.80,758,TRUE,TRUE,TRUE,TRUE,,,,70,71.71875048,72,16,16,,2,,,,4,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,5,,,,,
2006, Fourteen Mile Bank,2,33 23.771,117 59.507,12.8,12.80,12.80,758,TRUE,TRUE,TRUE,TRUE,,,,70.5,70.90606019,71.7,33,33,,2,,,,11,,,,,,,,,,3,,1,1,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,1,,,2,,,,,
2007, Fourteen Mile Bank,2,33 23.771,117 59.507,12.8,12.80,12.80,758,TRUE,TRUE,TRUE,TRUE,,,,70.4,71.24166573,71.8,36,36,,,,,,21,,,,,,,,,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,9,,,1,,
2008, Fourteen Mile Bank,2,33 23.771,117 59.507,12.8,12.80,12.80,758,TRUE,TRUE,TRUE,TRUE,,,,70.3,71.22857121,72.9,14,14,,,,,,6,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,1,,,,,,,,,,
2009, Fourteen Mile Bank,2,33 23.771,117 59.507,12.8,12.80,12.80,758,TRUE,TRUE,TRUE,TRUE,,,,70.3,70.60000038,70.9,4,4,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,
2010, Fourteen Mile Bank,2,33 23.771,117 59.507,12.8,12.80,12.80,758,TRUE,TRUE,TRUE,TRUE,,,,70.4,73.10769066,75.6,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,9,,,,,,,,
2011, Fourteen Mile Bank,2,33 23.771,117 59.507,12.8,12.80,12.80,758,TRUE,TRUE,TRUE,TRUE,,,,70.8,70.87500191,70.9,8,8,,,,,,,,,,,,,,,,1,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,
2012, Fourteen Mile Bank,2,33 23.771,117 59.507,12.8,12.80,12.80,758,TRUE,TRUE,TRUE,TRUE,21.3,21.3,21.3,70,70.63157935,71.6,38,38,,,,,,34,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
2013, Fourteen Mile Bank,2,33 23.771,117 59.507,12.8,12.80,12.80,758,TRUE,TRUE,TRUE,TRUE,22.1,22.16153846,22.3,73,73.30769231,74,26,26,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,
2014, Fourteen Mile Bank,2,33 23.771,117 59.507,12.8,12.80,12.80,758,TRUE,TRUE,TRUE,TRUE,22.7,22.75833333,22.8,71,71.96944639,73,36,36,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,8,,,1,,
2015, Fourteen Mile Bank,2,33 23.771,117 59.507,12.8,12.80,12.80,758,TRUE,TRUE,TRUE,TRUE,22.3,22.3,22.3,72.5,72.8119986,73.5,50,50,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,2,,1,,,8,,,,,
2016, Fourteen Mile Bank,2,33 23.771,117 59.507,12.8,12.80,12.80,758,TRUE,TRUE,TRUE,TRUE,,,,69.7,70.98888849,73.7,27,27,,,,,,6,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,16,,,,,
2017, Fourteen Mile Bank,2,33 23.771,117 59.507,12.8,12.80,12.80,758,TRUE,TRUE,TRUE,TRUE,,,,69.8,70.0473689,70.4,57,57,,3,,,,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,1,,,,,43,,,,,
2018, Fourteen Mile Bank,2,33 23.771,117 59.507,12.8,12.80,12.80,758,TRUE,TRUE,TRUE,TRUE,,,,70.7,71.56129037,73.1,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,17,,,3,,,9,,,1,,,,,
2019, Fourteen Mile Bank,2,33 23.771,117 59.507,12.8,12.80,12.80,758,TRUE,TRUE,TRUE,TRUE,,,,69.7,71.05293902,75.5,17,17,,,,,,2,,,,,,,,,,6,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,
