SurveyYear,AreaDesc,SiteName,SiteLatitude,SiteLongitude,PortDistance,LandfallDist_NM,MainlandDist_NM,AvgOfAvgSST,AvgOfVesselDepth,Bank.Rockfish,Blue.Rockfish,Bocaccio,California.Scorpionfish,California.Sheephead,Canary.Rockfish,Chilipepper,Copper.Rockfish,Cowcod,Flag.Rockfish,Gopher.Rockfish,Greenblotched.Rockfish,Greenspotted.Rockfish,Greenstriped.Rockfish,Halfbanded.Rockfish,Honeycomb.Rockfish,Lingcod,Lizardfish,Mexican.Rockfish,Ocean.Whitefish,Olive.Rockfish,Pacific.Bonito,Pacific.Mackerel,Pink.Rockfish,Rosy.Rockfish,Sanddab.Unidentified,Southern.Rock.Sole,Speckled.Rockfish,Spiny.Dogfish,Squarespot.Rockfish,Starry.Rockfish,Swordspine.Rockfish,Treefish,Unknown.Fish,Vermilion.Rockfish,Widow.Rockfish,Yelloweye.Rockfish,Yellowtail.Rockfish,HooksWithFish,ValidHooks,CPUE_perValidHook,CPUE_fishpersite,Target,Nontarget,Carnivore,Piscivore,Planktivore,Target.CPUE,Nontarget.CPUE,Piscivore.CPUE,Carnivore.CPUE,Planktivore.CPUE,Target.Dsimpsons,Nontarget.Dsimpsons,Piscivore.Dsimpsons,Carnivore.Dsimpsons,Planktivore.Dsimpsons,Diversity.Shannon,Diversity.Simpson,Diversity.InvSimpson
2004,Anacapa Island,40,34 02.407,119 17.667,7.5,3.5,7.4,NA,90.35,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,75,0.266666667,20,19,1,19,0,1,0.253333333,0.013333333,0,0.253333333,0.013333333,0.099722992,0,1,0.099722992,0,0.394397691,0.185,1.226993865
2008,Anacapa Island,40,34 02.407,119 17.667,7.5,3.5,7.4,NA,89.02916654,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,24,68,0.352941176,26.47058824,24,0,24,0,0,0.352941176,0,0,0.352941176,0,0.288194444,1,1,0.288194444,1,0.544283733,0.288194444,1.404878049
2009,Anacapa Island,40,34 02.407,119 17.667,7.5,3.5,7.4,NA,88.11666743,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,12,60,0.2,15,7,5,7,0,5,0.116666667,0.083333333,0,0.116666667,0.083333333,0,0,1,0,0,0.679193266,0.486111111,1.945945946
2010,Anacapa Island,40,34 02.407,119 17.667,7.5,3.5,7.4,NA,85.9000002,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,1,0,0,0,0,0,0,23,75,0.306666667,23,19,4,22,0,1,0.253333333,0.053333333,0,0.293333333,0.013333333,0.465373961,0.375,1,0.582644628,0,1.103490403,0.616257089,2.60591133
2011,Anacapa Island,40,34 02.407,119 17.667,7.5,3.5,7.4,NA,90.11612849,0,0,1,0,0,0,0,0,0,0,0,0,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,70,0.442857143,33.21428571,31,0,29,2,0,0.442857143,0,0.028571429,0.414285714,0,0.122788762,1,0.5,0,1,0.283936267,0.122788762,1.139976275
2012,Anacapa Island,40,34 02.407,119 17.667,7.5,3.5,7.4,19.02727273,89.71363518,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,22,75,0.293333333,22,22,0,19,0,3,0.293333333,0,0,0.253333333,0.04,0.491735537,1,1,0.332409972,0.444444444,0.929577689,0.491735537,1.967479675
2013,Anacapa Island,40,34 02.407,119 17.667,7.5,3.5,7.4,17.71162791,91.2767444,3,0,0,0,0,0,0,0,0,0,0,0,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,4,0,0,0,0,0,0,43,74,0.581081081,43.58108108,37,6,31,0,12,0.5,0.081081081,0,0.418918919,0.162162162,0.445580716,0.444444444,1,0.233090531,0.708333333,1.292679747,0.578691184,2.373555841
2014,Anacapa Island,40,34 02.407,119 17.667,7.5,3.5,7.4,19.8,93.16666667,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,74,0.202702703,15.2027027,15,0,15,0,0,0.202702703,0,0,0.202702703,0,0,1,1,0,1,0,0,1
2015,Anacapa Island,40,34 02.407,119 17.667,7.5,3.5,7.4,21.3,87.83157951,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,19,75,0.253333333,19,19,0,18,0,1,0.253333333,0,0,0.24,0.013333333,0.426592798,1,1,0.364197531,0,0.826405322,0.426592798,1.743961353
2016,Anacapa Island,40,34 02.407,119 17.667,7.5,3.5,7.4,NA,90.86829395,8,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,4,0,0,0,0,0,0,41,75,0.546666667,41,37,4,10,2,29,0.493333333,0.053333333,0.026666667,0.133333333,0.386666667,0.679327977,0,0,0.18,0.561236623,1.481702501,0.729327781,3.694505495
