"labels_site[, ""AreaDesc""]"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"San Miguel Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Santa Cruz Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
"Anacapa Island"
