SurveyYear,SiteName,Imm.Verm
2004,45,4
2011,45,1
2013,45,3
2014,45,2
2016,45,1
2017,45,3
2018,45,1
2019,45,1
2014,54,3
2016,54,9
2018,54,3
2019,54,3
2009,59,1
2012,59,5
2013,59,5
2014,59,23
2015,59,5
2016,59,18
2017,59,9
2018,59,11
2019,59,13
2005,62,1
2007,62,1
2011,62,1
2012,62,1
2014,62,2
2015,62,1
2005,68,1
2006,68,1
2007,68,11
2010,68,12
2011,68,14
2012,68,19
2013,68,3
2014,68,10
2015,68,10
2016,68,7
2017,68,9
2018,68,6
2019,68,4
2004,71,15
2008,71,3
2010,71,3
2011,71,29
2012,71,19
2013,71,14
2014,71,42
2015,71,32
2016,71,36
2017,71,8
2018,71,1
2019,71,11
2008,97,1
2018,97,1
2016,101,1
2017,101,1
2004,149,6
2008,149,11
2009,149,5
2010,149,3
2011,149,8
2013,149,2
2014,149,3
2015,149,2
2016,149,4
2018,149,2
2019,149,2
2004,151,1
2006,151,4
2007,151,4
2008,151,1
2009,151,2
2010,151,1
2011,151,1
2012,151,3
2015,151,1
2016,151,5
2017,151,1
2018,151,3
2019,151,4
2004,152,16
2008,152,15
2009,152,11
2010,152,4
2011,152,8
2012,152,4
2013,152,15
2014,152,5
2015,152,15
2016,152,16
2017,152,18
2018,152,5
2019,152,5
2005,154,3
2007,154,4
2009,154,5
2010,154,9
2011,154,11
2012,154,3
2013,154,2
2014,154,6
2015,154,3
2016,154,9
2017,154,2
2018,154,2
2019,154,14
2005,180,1
2008,180,1
2009,180,1
2010,180,4
2008,181,2
2010,181,2
2011,181,3
2015,181,1
2018,181,1
2019,181,1
2012,182,2
2015,182,1
2019,182,1
2012,184,1
2013,184,1
2017,184,1
2009,185,4
2011,185,1
2013,185,1
2014,185,1
2007,186,3
2008,186,10
2009,186,2
2010,186,6
2011,186,6
2012,186,3
2013,186,1
2014,186,5
2016,186,4
2017,186,1
2018,186,1
2019,186,1
2004,228,1
2008,228,7
2009,228,2
2010,228,5
2011,228,3
2012,228,3
2013,228,2
2016,228,2
2017,228,2
2018,228,1
2019,228,6
2017,229,1
2004,233,9
2005,233,2
2007,233,1
2008,233,2
2009,233,1
2010,233,1
2011,233,16
2012,233,5
2013,233,2
2014,233,1
2015,233,2
2016,233,1
2004,291,2
2005,291,1
2006,291,3
2005,292,1
2006,292,1
2007,292,8
2008,292,4
2011,292,1
2013,292,8
2014,292,3
2015,292,15
2016,292,6
2017,292,6
2018,292,7
2019,292,25
2004,293,1
2005,293,2
2006,293,1
2015,293,1
2016,293,4
2017,293,1
2018,293,1
2004,298,2
2008,298,4
2009,298,6
2010,298,3
2011,298,3
2012,298,3
2013,298,2
2014,298,21
2015,298,1
2016,298,10
2017,298,12
2004,299,11
2007,299,17
2009,299,9
2010,299,4
2011,299,4
2012,299,4
2013,299,9
2014,299,1
2016,299,14
2017,299,12
2018,299,5
2019,299,10
2005,374,23
2007,374,5
2008,374,5
2009,374,11
2010,374,11
2011,374,22
2012,374,44
2013,374,29
2014,374,44
2015,374,22
2016,374,21
2017,374,15
2018,374,20
2019,374,14
2005,375,2
2006,375,6
2007,375,2
2009,375,3
2010,375,2
2011,375,3
2012,375,4
2015,375,3
2017,375,1
2018,375,1
2019,375,2
2014,379,2
2015,379,2
2016,379,3
2017,379,1
2018,379,17
2005,383,1
2007,383,3
2008,383,4
2009,383,2
2011,383,6
2012,383,4
2013,383,1
2014,383,2
2008,413,1
2017,413,3
