SurveyYear,SiteName,Mat.Boc
2011,40,1
2016,40,2
2017,40,1
2004,45,8
2006,45,7
2007,45,9
2008,45,7
2009,45,2
2010,45,1
2011,45,7
2012,45,3
2013,45,1
2014,45,15
2016,45,4
2017,45,7
2018,45,4
2004,48,12
2005,48,20
2006,48,3
2007,48,5
2009,48,5
2010,48,1
2011,48,14
2012,48,2
2013,48,5
2014,48,11
2016,48,5
2017,48,3
2018,48,3
2019,48,5
2005,54,2
2006,54,1
2010,54,1
2012,54,1
2013,54,1
2015,54,2
2004,59,10
2008,59,20
2010,59,2
2011,59,2
2012,59,19
2013,59,19
2014,59,17
2015,59,49
2016,59,36
2017,59,15
2018,59,20
2019,59,23
2004,62,1
2005,62,10
2006,62,1
2007,62,4
2008,62,5
2012,62,2
2013,62,15
2014,62,17
2015,62,3
2016,62,2
2018,62,2
2019,62,4
2005,68,1
2007,68,7
2008,68,5
2010,68,1
2012,68,2
2015,68,3
2016,68,1
2019,68,2
2015,71,1
2004,97,16
2006,97,6
2007,97,10
2008,97,4
2009,97,4
2010,97,2
2012,97,12
2013,97,26
2014,97,7
2015,97,8
2016,97,6
2017,97,3
2018,97,4
2019,97,1
2004,101,13
2008,101,10
2009,101,4
2011,101,8
2012,101,8
2013,101,17
2014,101,5
2015,101,3
2016,101,7
2017,101,6
2018,101,3
2019,101,2
2004,149,3
2008,149,2
2009,149,4
2010,149,1
2011,149,7
2012,149,4
2013,149,6
2014,149,8
2015,149,9
2016,149,5
2017,149,3
2018,149,1
2019,149,7
2004,151,6
2005,151,16
2006,151,3
2008,151,5
2009,151,8
2011,151,13
2012,151,11
2013,151,6
2014,151,11
2015,151,8
2016,151,3
2017,151,3
2018,151,6
2019,151,2
2004,152,5
2008,152,1
2009,152,16
2010,152,3
2011,152,1
2012,152,4
2013,152,6
2014,152,8
2015,152,11
2016,152,4
2017,152,3
2018,152,6
2019,152,7
2004,154,4
2005,154,1
2007,154,1
2009,154,2
2010,154,3
2011,154,4
2012,154,2
2013,154,16
2014,154,12
2017,154,1
2018,154,1
2004,180,13
2005,180,7
2007,180,26
2008,180,9
2009,180,11
2011,180,3
2012,180,12
2014,180,1
2016,180,4
2017,180,14
2018,180,31
2019,180,9
2005,181,8
2007,181,11
2008,181,4
2009,181,1
2012,181,2
2013,181,1
2014,181,2
2015,181,5
2016,181,3
2017,181,1
2018,181,1
2019,181,4
2004,182,18
2005,182,7
2007,182,16
2008,182,4
2009,182,9
2010,182,4
2011,182,8
2012,182,8
2013,182,1
2014,182,3
2015,182,8
2016,182,12
2017,182,2
2018,182,4
2019,182,6
2005,184,13
2007,184,5
2008,184,6
2009,184,1
2011,184,2
2012,184,4
2014,184,3
2016,184,4
2017,184,12
2018,184,6
2019,184,3
2004,185,33
2005,185,17
2007,185,18
2008,185,10
2009,185,9
2010,185,1
2011,185,9
2012,185,5
2013,185,7
2014,185,9
2015,185,15
2016,185,11
2017,185,4
2018,185,8
2019,185,1
2004,186,14
2005,186,18
2007,186,9
2008,186,8
2009,186,9
2010,186,3
2011,186,12
2012,186,7
2013,186,2
2014,186,8
2015,186,19
2016,186,8
2017,186,12
2018,186,11
2019,186,4
2010,228,7
2011,228,18
2012,228,2
2013,228,32
2014,228,4
2016,228,6
2017,228,31
2018,228,21
2019,228,9
2011,229,8
2012,229,2
2013,229,3
2014,229,7
2016,229,1
2004,233,1
2005,233,2
2006,233,4
2007,233,7
2008,233,9
2009,233,6
2011,233,8
2012,233,3
2013,233,5
2014,233,4
2015,233,1
2016,233,3
2018,233,3
2005,291,2
2006,291,7
2007,291,4
2009,291,2
2011,291,1
2013,291,3
2015,291,3
2017,291,4
2018,291,3
2006,292,1
2007,292,2
2013,292,1
2010,293,3
2012,293,1
2013,293,3
2014,293,2
2017,293,2
2019,293,1
2004,298,1
2005,298,4
2006,298,6
2007,298,2
2008,298,14
2009,298,3
2010,298,2
2013,298,16
2014,298,4
2019,298,1
2006,374,1
2008,374,4
2009,374,1
2010,374,3
2012,374,1
2013,374,1
2014,374,1
2015,374,4
2016,374,1
2017,374,5
2018,374,3
2005,375,4
2006,375,10
2007,375,5
2008,375,10
2009,375,12
2010,375,6
2011,375,7
2012,375,2
2013,375,3
2014,375,5
2015,375,1
2016,375,4
2017,375,4
2018,375,10
2019,375,3
2008,379,1
2009,379,2
2011,379,2
2013,379,1
2019,379,1
2006,383,8
2007,383,6
2008,383,5
2009,383,2
2011,383,9
2012,383,2
2016,383,2
2018,383,2
2019,383,9
2009,413,3
2011,413,37
2012,413,16
2014,413,28
2016,413,4
2017,413,9
2018,413,2
2019,413,7
