SurveyYear,SiteName,Mat.Gspot
2004,40,18
2008,40,20
2009,40,7
2010,40,12
2011,40,28
2012,40,15
2013,40,27
2014,40,15
2015,40,13
2016,40,9
2017,40,19
2018,40,19
2019,40,30
2012,45,1
2006,48,4
2008,48,1
2009,48,1
2011,48,1
2013,48,2
2014,48,6
2016,48,1
2017,48,4
2018,48,1
2019,48,1
2010,54,2
2009,62,1
2007,68,1
2004,71,1
2006,97,1
2010,97,1
2013,97,1
2017,97,1
2019,97,3
2019,101,1
2004,149,15
2008,149,12
2009,149,4
2010,149,9
2011,149,5
2012,149,9
2013,149,14
2014,149,2
2015,149,10
2016,149,7
2017,149,2
2018,149,2
2004,151,4
2006,151,8
2007,151,4
2008,151,12
2009,151,18
2010,151,9
2011,151,2
2012,151,7
2013,151,16
2014,151,15
2015,151,11
2016,151,1
2017,151,1
2018,151,5
2019,151,6
2004,152,4
2008,152,2
2009,152,2
2010,152,7
2012,152,5
2013,152,3
2015,152,3
2016,152,1
2017,152,5
2018,152,8
2019,152,2
2004,154,18
2005,154,1
2006,154,3
2007,154,11
2008,154,5
2009,154,10
2010,154,3
2012,154,5
2013,154,1
2015,154,1
2016,154,2
2018,154,7
2019,154,4
2005,181,5
2007,181,4
2008,181,7
2009,181,4
2010,181,2
2012,181,5
2014,181,7
2016,181,2
2017,181,18
2018,181,2
2019,181,3
2004,182,4
2008,182,1
2009,182,3
2012,182,5
2014,182,5
2016,182,3
2017,182,8
2018,182,9
2005,184,1
2007,184,4
2008,184,1
2009,184,5
2011,184,1
2012,184,6
2013,184,3
2014,184,5
2016,184,1
2017,184,1
2018,184,2
2019,184,1
2009,185,5
2011,185,1
2014,185,1
2019,185,7
2004,186,4
2005,186,1
2007,186,3
2008,186,5
2009,186,9
2010,186,3
2011,186,2
2012,186,4
2013,186,2
2014,186,1
2015,186,4
2017,186,4
2018,186,6
2019,186,4
2004,228,1
2008,228,1
2017,228,1
2018,228,1
2019,228,3
2005,229,5
2006,229,3
2008,229,3
2009,229,3
2010,229,2
2011,229,1
2012,229,5
2013,229,4
2014,229,8
2017,229,4
2018,229,5
2019,229,3
2004,233,3
2005,233,1
2008,233,4
2009,233,2
2012,233,1
2014,233,1
2015,233,1
2017,233,1
2018,233,1
2010,291,1
2005,292,3
2006,292,2
2007,292,5
2011,292,2
2013,292,6
2014,292,1
2016,292,2
2018,292,1
2004,298,2
2008,298,1
2005,374,15
2007,374,16
2008,374,7
2009,374,8
2010,374,1
2011,374,2
2012,374,7
2013,374,1
2015,374,1
2016,374,1
2017,374,5
2018,374,7
2019,374,5
2005,375,1
2006,375,2
2008,375,1
2009,375,2
2010,375,3
2012,375,3
2013,375,13
2015,375,3
2017,375,9
2019,375,8
2005,379,1
2008,379,1
2009,379,1
2010,379,1
2011,379,1
2013,379,2
2016,379,1
2019,379,1
2008,413,3
2010,413,1
2016,413,1
2019,413,6
