,SurveyYear,AreaDesc,SiteName,MinOfAvgSST,AvgOfAvgSST,MaxOfAvgSST,MinOfVesselDepth,AvgOfVesselDepth,MaxOfVesselDepth,ValidHooks,TotalFish,TotalFishingTime.sec,Bank.Rockfish,Barred.Sand.Bass,Blue.Rockfish,Bocaccio,Brown.Rockfish,Brown.Smoothhound,Calico.Rockfish,California.Scorpionfish,California.Sheephead,California.Yellowtail,Canary.Rockfish,Chilipepper,Copper.Rockfish,Cowcod,Flag.Rockfish,Freckled.Rockfish,Gopher.Rockfish,Gray.Smoothhound,Greenblotched.Rockfish,Greenspotted.Rockfish,Greenstriped.Rockfish,Halfbanded.Rockfish,Honeycomb.Rockfish,Lingcod,Lizardfish,Mexican.Rockfish,Ocean.Whitefish,Olive.Rockfish,Pacific.Bonito,Pacific.Mackerel,Pink.Rockfish,Rosy.Rockfish,Sanddab.Unidentified,Southern.Rock.Sole,Speckled.Rockfish,Squarespot.Rockfish,Starry.Rockfish,Swordspine.Rockfish,Treefish,Vermilion.Rockfish,Widow.Rockfish,Yelloweye.Rockfish,Yellowtail.Rockfish,AreaDesc2,MPA.group,MPA.group2,MPA.group3,SiteType,MPA.type,CPUE.Fishpermin,CPUE.Fishper5min,CPUE.Fishpervalidhook,CPUE.Fishfor75hooks,Richness,MPA.when.sampled,BACI.ControlImpact,Mat.Verm,Imm.Verm,Mat.Boc,Imm.Boc,Imm.Gspot,Mat.Gspot,Target.sp,Nontarget.sp,Piscivore,Carnivore,Planktivore,Target.CPUE,Nontarget.CPUE,Piscivore.CPUE,Carnivore.CPUE,Planktivore.CPUE,Target.DShannons,Nontarget.DShannons,Piscivore.DShannons,Carnivore.DShannons,Planktivore.DShannons,Diversity.Shannon,Diversity.Simpson,Diversity.InvSimpson,n,Biomass,Nontarget.bio,Target.bio,Carnivore.bio,Piscivore.bio,Planktivore.bio
1,2004,Anacapa Island,40,NA,NA,NA,88,90.35,92,75,20,2088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Control,Non reserve,0.574712644,4,0.266666667,20,3,0,NA,0,0,0,0,0,18,19,1,0,19,1,0.253333333,0.013333333,0,0.253333333,0.013333333,0.206192051,0,0,0.206192051,0,0.394397691,0.185,1.226993865,20,11.4,0.5,10.9,10.34,0,1.06
2,2008,Anacapa Island,40,NA,NA,NA,87.8,89.02916654,91.7,68,24,4152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Control,Non reserve,0.346820809,4.8,0.352941176,26.47058824,3,0,Control,0,0,0,0,0,20,24,0,0,24,0,0.352941176,0,0,0.352941176,0,0.544283733,0,0,0.544283733,0,0.544283733,0.288194444,1.404878049,24,12.46,0,12.46,12.46,0,0
3,2009,Anacapa Island,40,NA,NA,NA,87.4,88.11666743,89.3,60,12,4324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Control,Non reserve,0.166512488,2.4,0.2,15,2,0,Control,0,0,0,0,0,7,7,5,0,7,5,0.116666667,0.083333333,0,0.116666667,0.083333333,0,0,0,0,0,0.679193266,0.486111111,1.945945946,12,5.82,0.92,4.9,4.9,0,0.92
4,2010,Anacapa Island,40,NA,NA,NA,80.4,85.9000002,90.3,75,23,4573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,1,0,0,0,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Control,Non reserve,0.301771266,4.6,0.306666667,23,4,0,Control,0,0,0,0,0,12,19,4,0,22,1,0.253333333,0.053333333,0,0.293333333,0.013333333,0.658109988,0.562335145,0,0.96667483,0,1.103490403,0.616257089,2.60591133,23,12.58,0.6,11.98,12.46,0,0.12
5,2011,Anacapa Island,40,NA,NA,NA,89.8,90.11612849,90.5,70,31,4384,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Control,Non reserve,0.424270073,6.2,0.442857143,33.21428571,3,0,Control,0,0,1,0,0,28,31,0,2,29,0,0.442857143,0,0.028571429,0.414285714,0,0.283936267,0,0.693147181,0,0,0.283936267,0.122788762,1.139976275,31,23.2,0,23.2,21.16,2.04,0
6,2012,Anacapa Island,40,18.8,19.02727273,19.2,88.2,89.71363518,90.2,75,22,2836,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Control,Non reserve,0.465444288,4.4,0.293333333,22,4,0,Control,0,0,0,0,0,15,22,0,0,19,3,0.293333333,0,0,0.253333333,0.04,0.929577689,0,0,0.514653165,0.636514168,0.929577689,0.491735537,1.967479675,22,14.92,0,14.92,12.42,0,2.5
7,2013,Anacapa Island,40,17.6,17.71162791,17.9,89.8,91.2767444,93.2,74,43,3917,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,4,0,0,0,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Control,Non reserve,0.658667347,8.6,0.581081081,43.58108108,7,0,Control,0,0,0,0,0,27,37,6,0,31,12,0.5,0.081081081,0,0.418918919,0.162162162,0.929434019,0.636514168,0,0.473981266,1.286057337,1.292679747,0.578691184,2.373555841,43,30.84,1.12,29.72,23.8,0,7.04
8,2014,Anacapa Island,40,19.8,19.8,19.8,90.4,93.16666667,97.5,74,15,4153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Control,Non reserve,0.216710811,3,0.202702703,15.2027027,1,0,Control,0,0,0,0,0,15,15,0,0,15,0,0.202702703,0,0,0.202702703,0,0,0,0,0,0,0,0,1,15,8.72,0,8.72,8.72,0,0
9,2015,Anacapa Island,40,21.3,21.3,21.3,86.5,87.83157951,90,75,19,2862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Control,Non reserve,0.398322851,3.8,0.253333333,19,4,0,Control,0,0,0,0,1,13,19,0,0,18,1,0.253333333,0,0,0.24,0.013333333,0.826405322,0,0,0.654669565,0,0.826405322,0.426592798,1.743961353,19,13.01,0,13.01,12.27,0,0.74
10,2016,Anacapa Island,40,NA,NA,NA,87,90.86829395,94.9,75,41,3290,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,4,0,0,0,0,0,Anacapa/Santa Cruz,Footprint,Footprint,Footprint,Control,Non reserve,0.747720365,8.2,0.546666667,41,6,0,Control,0,0,2,0,0,9,37,4,2,10,29,0.493333333,0.053333333,0.026666667,0.133333333,0.386666667,1.287634812,0,0,0.325082973,0.941594567,1.481702501,0.729327781,3.694505495,41,25.64,0.46,25.18,5.9,1.96,17.78
